X,Y,OBJECTID,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,SITENUMBER
1501945,5195218,3744,Selwyn at 13 Mile Bush,13 Mile Bush,Selwyn at 13 Mile Bush,C,T,2026/04/09 00:00:00+00,0,0,0.5,2.5,3,7.5,0.5,0,0,14,488,2411925,5756836,L35:11925-56836,1501945,5195218,BW21:0194-9521,313710
1473413,5183006,3751,North Ashburton at Cookies Hut,Cookies Hut,North Ashburton at Cookies Hut,C,T,2026/04/09 00:00:00+00,0,0,1.5,2,0.5,2,3,0,0,9,957,2383387,5744624,K35:83387-44624,1473413,5183006,BX20:7341-8300,314411
1467334,5198315,3752,North Ashburton at Turtons Saddle,Turtons Saddle,North Ashburton at Turtons Saddle,C,T,2026/04/09 00:00:00+00,0,0,4,5,0,3.5,7,0,0,19.5,1140,2377307,5759935,K35:77307-59935,1467334,5198315,BW19:6733-9831,314412
1498383.546,5188965.082,3759,Selwyn at High Peak,High Peak,Selwyn at High Peak,C,T,2026/04/09 00:00:00+00,0,0,0.5,1.5,1.5,3.5,0,0,0,7,457,2408362,5750582,K35:08362-50582,1498383,5188965,BX21:9838-8896,314701
1443437,5179382,3770,South Ashburton at Boundary Creek,Boundary Creek,South Ashburton at Boundary Creek,C,T,2026/04/09 00:00:00+00,0,0,3,1.5,1,8.5,14,0,0,28,1118,2353408,5741001,J35:53408-41001,1443437,5179382,BX18:4343-7938,315010
1481641,5178550,3772,Pudding Hill Stream at Mount Hutt,Mount Hutt,Pudding Hill Stream at Mount Hutt,C,T,2026/04/09 00:00:00+00,2.5,2.5,0.5,2,5,9.5,7.5,0,0,27,1122,2391616,5740166,K35:91616-40166,1481641,5178550,BX20:8164-7855,315510
1510512,5187224,3787,Selwyn at Whitecliffs,Whitecliffs,Selwyn at Whitecliffs,C,T,2026/04/08 23:00:00+00,0,0,0,2.5,0,3,0,0,0,5.5,280,2420493,5748840,L35:20493-48840,1510512,5187224,BX21:1051-8722,315910
1463613,5169813,3794,South Ashburton at Mount Somers,Mount Somers,South Ashburton at Mount Somers,C,T,2026/04/09 00:00:00+00,0,0,4,2,0.5,4,1.5,0,0,12,807,2373585,5731430,K36:73585-31430,1463613,5169813,BX19:6361-6981,316310
1456745,5153185,3816,Rangitata at Klondyke,Klondyke,Rangitata at Klondyke,C,T,2026/04/09 00:10:00+00,0,0,0.5,1,7,9,12.5,0,0,30,382,2366714,5714801,J36:66714-14801,1456745,5153185,BY19:5674-5318,317210
1458077,5137426,3860,Kowhai at Blandswood,Blandswood,Kowhai at Blandswood,T,T,2026/04/09 00:00:00+00,0,0,0,1,3.5,12.5,12,0,0,29,358,2368043,5699041,J37:68043-99041,1458077,5137426,BY19:5807-3742,319211
1522871,5239373,3878,Waimakariri at Kanuka Hills,Kanuka Hills,Waimakariri at Kanuka Hills,C,T,2026/04/09 00:00:00+00,0,0.5,0.5,1.5,0,0,0,0,0,2.5,790,2432854,5801003,L33:32854-01003,1522871,5239373,BV22:2287-3937,320010
1533272,5228594,3891,Ashley at Lees Valley,Lees Valley,Ashley at Lees Valley,C,T,2026/04/09 00:00:00+00,0,0,0,1.5,1.5,4.5,0,0,0,7.5,518,2443259,5790221,L34:43259-90221,1533272,5228594,BV22:3327-2859,321212
1546497,5232921,3893,Ashley at Pig Flat,Pig Flat,Ashley at Pig Flat,C,T,2026/04/09 00:00:00+00,0,0,0,1,1,2.5,0,0,0,4.5,520,2456488,5794550,M34:56488-94550,1546497,5232921,BV23:4649-3292,321310
1568585,5231998,3898,Waipara at White Gorge,White Gorge,Waipara at White Gorge,C,T,2026/04/09 00:00:00+00,0,0,0,0.5,4.5,7,0,0,0,12,210,2478583,5793628,M34:78583-93628,1568585,5231998,BV24:6858-3199,321610
1493687,5218349,3902,Waimakariri at Cheeseman,Cheeseman,Waimakariri at Cheeseman,C,T,2026/04/09 00:00:00+00,0,0.5,1.5,3.5,0,3.5,0,0,0,9,880,2403665,5779972,K34:03665-79972,1493687,5218349,BW21:9368-1834,321710
1524807,5217689,3904,Ashley at Townshend,Townshend,Ashley at Townshend,C,T,2026/04/09 00:00:00+00,0,0,0,1.5,1.5,1,0,0,0,4,470,2434792,5779313,L34:34792-79313,1524807,5217689,BW22:2480-1768,322110
